,Aerospin,AtmosFear,Balder,Barnens paradis,Blomsterkarusellen,Bushållplatsen,Cyklonen,Drakbåtarna,Farfars Bil,Fisketuren,FlumeRide,Flygande elefanter,Flygis,Hanghai,Helix,Hissningen,Hoppalång,Högspänningen,JukeBox,Kaffekoppen,Kaninlandsbanan,Kaninresan,Kristallsalongen,Kållerado,Lilla Lots,Lisebergbanan,Lisebergshjulet,Loke,Mechanica,Rabalder,Radiobilarna,Skepp o skoj,Slänggungan,Spökhotellet Gasten,Stampbanan,Tuta & Kör,Uppswinget,Valkyria,Virvelvinden
2019-08-30 20:05:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 20:10:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
2019-08-30 20:15:05,,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
2019-08-30 20:20:05,,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,30.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 20:25:04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,30.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 20:30:05,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 20:35:04,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 20:40:04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 20:45:04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 20:50:04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
2019-08-30 20:55:04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
2019-08-30 21:00:04,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,,10.0,10.0,60.0,20.0,10.0,10.0,10.0,,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,,,10.0,20.0,10.0
2019-08-30 21:05:05,,10.0,10.0,10.0,,,,,,,20.0,,,10.0,60.0,,,,10.0,,,,10.0,10.0,,10.0,10.0,10.0,10.0,,10.0,,10.0,10.0,,,10.0,20.0,
2019-08-30 21:10:05,,10.0,10.0,10.0,,,,,,,20.0,,,10.0,60.0,,,,10.0,,,,10.0,10.0,,10.0,10.0,10.0,10.0,,10.0,,10.0,10.0,,,10.0,20.0,
